name,artist,lyric
Dunia ini indah,Abdul dan Coffee theory,"Kau datang kepadaku dengan segala gundahmu
Kau curahkan kesalmu yang kini kau alami
Dan kau pun membisu
Syududu
Aku pun t'rus mencoba tenangkan hatimu
Karena cobaan pasti datang dengan silih berganti
Yakinlah padaku ku kan s'lalu menjagamu heye
Ho
Genggamlah tanganku
Ow ow ow ow
Kan kubawa ke alam penuh cinta
Hempaskanlah semua beban di jiwa
Karena dunia ini indah
Genggamlah tanganku
Ow ow ow ow
Kan kubawa ke alam penuh cinta
Hempaskanlah semua beban di jiwa
Karena dunia ini indah ye ho
Aku pun t'rus mencoba tenangkan hatimu
Karena cobaan pasti datang dengan silih berganti
Yakinlah padaku ku kan s'lalu menjagamu oh ye
Genggamlah tanganku
Ow ow ow ow
Kan kubawa ke alam penuh cinta
Hempaskanlah semua beban di jiwa
Karena dunia ini indah
Genggamlah tanganku
He he he he
Kan kubawa ke alam penuh cinta
Hempaskanlah semua beban di jiwa
Karena dunia ini indah
Tutu tutu
Karena dunia ini indah
Genggamlah tanganku
Kan kubawa ke alam penuh cinta
Hempaskanlah semua beban di jiwa
Karena dunia ini indah ye oh
Cu ru tu cu ru tu
"
Proses melupakan,Abdul dan Coffee theory,"Senin, 3 Januari, ku coba menyingkirkan
Semua benda kenangan, yang ku dapat darimu
Selasa, ku kumpulkan semua teman-temanku
Dan ku buat hari ini yang terindah bagiku
Namun tetap ku tak mampu melupakan dirimu
Dan bayangmu masih saja hantui aku
Itulah prosesku
Itulah prosesku
Itulah prosesku
Melupakanmu
Rabu, aku menunggu kabar dari dirimu
Tangisku coba mencarimu
Namun kau entah di mana
Jumat, aku putuskan ini hari terakhirku
Bagiku untuk meratapi kamu
Namun tetap ku tak mampu melupakan dirimu
Dan bayangmu masih saja hantui aku
Itulah prosesku
Itulah prosesku
Itulah prosesku
Melupakanmu
Dan ku tak mampu
Menjalani semua
Hari-hari tanpamu
Dan aku tak tahu
Apa yang kulakukan
Untuk dapat melupakan kamu, ohh hu hu
Satu minggu ku mencoba mencari penggantimu
Namun kau masih yang terbaik untuk aku
Itulah prosesku
Itulah prosesku
Itulah prosesku
Melupakanmu"
Jangan Bandingkan Aku,Abdul dan Coffee theory,"Telah lama kita jalani
Cerita cinta kita
Namun masa lalumu
Terus menghantui dalam setiap langkahku
Telah lama aku mencoba
Jadi yang terbaik untukmu
Namun bayangan dirinya tak dapat kau lupa
Di setiap cerita
Biarkan aku mencintaimu
Dengan seluruh rasa cintaku
Biarkan aku menyayangimu setulus hati
Jangan bandingkan aku dengannya
Nilai saja tulus cintaku
Tak ingin sisa cinta yang lain untuk diriku
Jangan bandingkan ku dengannya
Harus bagaimana ku dapat berharap
Tuk milikimu dengan seutuhnya
Harus bagaimana ku harus berbuat
Tuk dapat menggapai hatimu
Biarkanlah ku mencintaimu dengan seluruh rasa cintaku
Biarkanlah ku menyayangimu setulus hati
Ho wo
Jangan bandingkan aku dengannya nilai saja tulus cintaku
Tak ingin sisa cinta yang lain untuk diriku
Jangan bandingkan ku dengannya oh
Jangan bandingkan ku dengannya"
Masih,ADA Band,"Rasa cinta yang dulu tlah hilang
Kini bersemi kembali
Tlah kau coba lupakan dirinya hapus cerita lalu
Dan lihatlah
Dirimu bagai bunga dimusim semi
Yang tersenyum
Menatap indahnya dunia yang seiring menyambut
Jawaban sgala gundahmu
Walau badai menghadang
Ingatlah ku kan selalu setia menjagamu
Berdua kita lewati jalan yang berliku tajam
Setiap waktu wajahmu yang lugu
selalu menjadi langkahku
Telah lama menanti dirimu
Tempat ku kan berlabuh
Cahaya hatiku
Yakinlah kekal abadi selamanya
Seperti bintang
Yang sinarnya terangi seluruh ruang dijiwa
Membawa kedamaian
Walau badai menghadang
Ingatlah ku kan selalu setia menjagamu
Berdua kita lewati jalan yang berliku tajam
Resah yang kau rasakan
Kan jadi bagian hidupku
Bersamamu
Letakanlah segala lara
Di pundakku ini"
Haruskah Kumati,ADA Band,"Bagaimana mestinya
Membuatmu jatuh hati kepadaku?
T'lah kutuliskan sejuta puisi
Meyakinkanmu membalas cintaku
Haruskah ku mati karenamu?
Terkubur dalam kesedihan sepanjang waktu
Haruskah kurelakan hidupku?
Hanya demi cinta yang mungkin bisa membunuhku
Hentikan denyut nadi jantungku
Tanpa kau tahu betapa suci hatiku
Untuk memilikimu
Adakah keikhlasan
Dalam palung jiwamu mengetukku?
Ajarkanmu bahasa perasaan
Hingga hatimu tak lagi membeku
Haruskah ku mati karenamu?
Terkubur dalam kesedihan sepanjang waktu
Haruskah kurelakan hidupku?
Hanya demi cinta yang mungkin bisa membunuhku
Hentikan denyut nadi jantungku
Tanpa kau tahu betapa suci hatiku
Untuk memilikimu
Tiadakah ruang di hatimu untukku
Yang mungkin bisa 'tuk kusinggahi?
Hanya sekedar penyejuk di saat ku layu
Ku s'lalu menantimu hingga akhir masa, oh
Haruskah ku mati karenamu?
Terkubur dalam kesedihan sepanjang waktu
Haruskah kurelakan hidupku?
Hanya demi cinta yang mungkin bisa membunuhku
Hentikan denyut nadi jantungku
Tanpa kau tahu betapa suci hatiku
Untuk memilikimu"
Surga CInta,ADA Band,"Terdiam, hanya bisa diam
Dingin menyerang
Di sekujur tubuhku
Layangkan mata menembus cahaya
Putih kilaunya
Meneduhkan lamunan
Masih jelas terlihat pesona ayumu
Masih jelas terasa getar dawai jiwamu
Inikah surga cinta yang banyak orang pertanyakan?
Atau hanya mimpi yang tiada pernah berakhir jua
Perlahan bawa semua tanya
Satu bersama
Langkah di taman ini
Terangkai bunga tanda cinta murni adanya
Tapi kekasih pun tiada
Muncul hapus rinduku
Inikah surga cinta yang banyak orang pertanyakan?
Atau hanya mimpi yang tiada pernah berakhir jua
Di mana aku sedang berada, mengapa sendiri?
Lari telanjang tanpa seorang pun yang akan mempeduli
Inikah surga cinta yang banyak orang pertanyakan?
Atau hanya mimpi yang tiada pernah berakhir jua
Terbanglah cinta, sampaikan sayangku hanya bagi dia
Hanya rasa sepi meratapi malam tanpa dirinya
"
Kau Aura Ku,ADA Band,"Malam kehadiran cinta, sambut jiwa baru
Telah lama kutunggu hadirmu di sini
Namun hanya ruang semu yang nampak padaku
Meski sulit harus kudapatkan
Kerinduan yang mendalam, terbitkan hasratku
Sambutlah tangan ini, terima janjiku
Rasakan cinta yang tulus lewat aliran darahmu
Menyatu seiring dalam kasih
Kau auraku, oh, pancarkan sepercik harapan
Datanglah merasuk, menjelma, meleburkan cinta
Kubawa kau terbang menembus awan yang beriring
Kembangkan senyuman bagai bunga bawa keindahan
Oh-wo-wo-wo
Tak dapat kusangkali adanya dirimu
Yang s'lalu menaungi pikiran batinku
Ingin miliki hatimu, takkan pernah terlepaskan
Kupersembahkan semua padamu
Kau auraku, oh, pancarkan sepercik harapan
Datanglah merasuk, menjelma, meleburkan cinta
Kubawa kau terbang menembus awan yang beriring
Kembangkan senyuman bagai bunga bawa keindahan
Uh-wo-oh-wo
Kau auraku, oh, pancarkan sepercik harapan
Datanglah merasuk, menjelma, meleburkan cinta
Kubawa kau terbang menembus awan yang beriring
Kembangkan senyuman bagai bunga bawa keindahan
Kau auraku"
Jadikan Aku Raja,ADA Band,"Betapa dalam
Rasa kasihku padamu
Yang s'lalu membayangi
Di setiap liku jalanku
Membawa terang
Yang menuntun
Langkah hidupku
Kekasihku, tersenyumlah
Bawa ku ke duniamu
Jadikan aku raja bagimu
Dalam istana hatimu
Walau kini kau tak lagi
Temani ragaku ini
Cintaku hanya untuk
Engkau seorang
Bila t'lah tiba
Waktuku untuk dirimu
Nantikan jiwa ini
Di gerbang hatimu
Bawa anganku
Raih semua
Bintang di langit
Kekasihku, tersenyumlah
Bawa ku ke duniamu
Jadikan aku raja bagimu
Dalam istana hatimu
Walau kini kau tak lagi
Temani ragaku ini
Cintaku hanya untuk
Engkau seorang
Kekasihku, tersenyumlah
Bawa ku ke duniamu
Jadikan aku raja bagimu
Dalam istana hatimu
Walau kini kau tak lagi
Temani ragaku ini
Cintaku hanya untuk
Engkau seorang
"
Kucuri Lagi Hatimu,ADA Band,"Gelisah merindukan pelukmu
Salahku meninggalkanmu oh kasihku
Maafkan salahku dulu
Aku sayang kepadamu
Andaikan ku curi lagi hatimu
Percayalah hanya padamu cintaku
Kamulah harta yang paling indah
Ku sayang dan selalu ku jaga kekasih
Selalu terbayangkan wajahmu
Terbawa di setiap waktu dan mimpiku
Maafkan salahku dulu aku sayang kepadamu
Andaikan ku curi lagi hatimu (kucuri hatimu)
Percayalah hanya padamu cintaku
Kamulah harta yang paling indah
Ku sayang dan selalu ku jaga kekasih
Belahlah dadaku
Lihat betapa besarnya cinta ini
Andaikan ku curi lagi hatimu
Percayalah hanya padamu cintaku
Kamulah harta yang paling indah
Ku sayang dan selalu ku jaga kekasih
Andaikan ku curi lagi hatimu
Percayalah hanya padamu cintaku
Kamulah harta yang paling indah
Ku sayang dan selalu ku jaga kekasih
"
Akal Sehat,ADA Band,"Dulu kumencintaimu
Terasa bahagia
Namun kau hilang tanpa jejak
Membuat bertanya
Apa salah diriku
Hapus memori itu
Tak semudah dibayangkan
Bagai hantu di siang malam
Mendera batinku
Bayang dirimu begitu merasuk kalbu
Akal sehatku berhenti
Kala menatap indah matamu
Hingga melumpuhkan jiwa
Kau mencuri perhatian dan sayangku
Takkan lagi kupungkiri semua
Saat kucoba tegar
Hadirmu kembali
Ada dera di sekujur tubuh
Lelah 'tuk berpikir
Sakit kumelihatnya
Bawa sejuta maaf
Entah dari hati
Letakkan janji sekali lagi
Di atas segalanya
Adakah ini hanya pelarian tanpa ujung
Akal sehatku berhenti
Kala menatap indah matamu
Hingga melumpuhkan jiwa
Kau mencuri perhatian dan sayangku
Takkan lagi kupungkiri semua
Akal sehatku berhenti
Kala menatap indah matamu
Hingga melumpuhkan jiwa
Kau mencuri perhatian dan sayangku
Takkan lagi kupungkiri semua
Akal sehatku berhenti
Kala menatap indah matamu
Hingga melumpuhkan jiwa
Kau mencuri perhatian dan sayangku
Takkan lagi kupungkiri semua
Aku memang cinta padamu"
